county,fips,recorder_url,online_system,vendor,access_tier,free_search,free_view,free_download,subscription_required,fee_structure,records_start_year,in_person_free,notes,source_url,last_verified,status
Delaware,42045,https://www.delcopa.gov/recorder/index.html,GovOS Cloud Search,GovOS / Kofile,free,true,true,true,false,none,1789,true,"35M+ document images spanning 240 years. Free Google-like portal. Model for PA counties.",https://whyy.org/articles/delaware-county-property-records-online/,2026-02-04,verified
Montgomery,42091,https://www.montgomerycountypa.gov/361/Public-Access-System,County Public Access System (rodviewer.montcopa.org),county-built,paywalled,true,true,false,false,"Copies $0.50/page plain; $10.50 certified. Free account required for search/view.",,true,"Free account creation required. Search and view at no cost; fees only for copies.",https://www.montgomerycountypa.gov/361/Public-Access-System,2026-02-04,verified
Chester,42029,https://www.chesco.org/431/Records-Search,Tyler Technologies (countygovernmentrecords.com),Tyler Technologies,paywalled,true,true,false,false,"Free guest access for search/view. Subscription available for frequent users. Historical pre-1993 requires SearchIQS subscription.",1905,true,"Free guest access 1905-present. Historical records pre-1993 need separate subscription.",https://www.chesco.org/431/Records-Search,2026-02-04,verified
Bucks,42017,https://www.buckscounty.gov/601/Property-Records,LANDEX Remote / LANDEX Webstore,LANDEX,paywalled,true,false,false,true,"LANDEX Remote: ~$0.10/min + $0.15/copy with prepaid account. LANDEX Webstore: free index search but paid document viewing.",,true,"Most restrictive suburban Philly county. No free online viewing. Only in-person inspection is free.",https://www.buckscounty.gov/601/Property-Records,2026-02-04,verified
Philadelphia,42101,https://epay.phila-records.com/phillyepay/web/,PhilaDox,city-operated,paywalled,true,true,false,true,"Free Public Search Login shows watermarked documents. Downloads: $15/24hrs, $60/week, $195/year. Pre-1974 not available online.",1974,true,"Watermarked viewing is free. Downloading/printing requires subscription. Pre-1974 records not digitized.",https://epay.phila-records.com/phillyepay/web/,2026-02-04,verified
Luzerne,42079,https://www.luzernecounty.org/607/Recorder-of-Deeds,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required for modern records. Historical records (1786-1967) available free through separate system.",,true,"Split system: free historical access via separate portal; modern records behind LANDEX paywall.",https://www.luzernecounty.org/607/Recorder-of-Deeds,2026-02-04,verified
Monroe,42089,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",, 2026-02-04,needs_review
Washington,42125,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Wayne,42127,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Cumberland,42041,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Franklin,42055,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Crawford,42039,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Armstrong,42005,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Lehigh,42077,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Bradford,42015,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
McKean,42083,,LANDEX,LANDEX,paywalled,true,false,false,true,"LANDEX subscription required.",,true,"LANDEX county. Details need verification.",,2026-02-04,needs_review
Fayette,42051,https://www.fayettecountypa.org/368/Open-Records,,,paywalled,true,,,,,,true,"Fayette County explicitly states 'there is no fee to view a public record.' Needs full classification of online system.",https://www.fayettecountypa.org/368/Open-Records,2026-02-04,needs_review
Adams,42001,,,,,,,,,,,true,"Unresearched.",,2026-02-04,unresearched
